;date;snippet
0;May 16, 2025;Como usuário neurodivergente e pesquisador na área de tecnologia e educação, minha experiência com o aplicativo da Vivo tem sido profundamente frustrante. A interface é desorganizada, com excesso de informações e falta de hierarquia visual clara, tornando a navegação confusa e pouco intuitiva. Além disso, o aplicativo é pesado.
1;May 21, 2025;O design está ótimo, parabéns! A funcionalidade está deficiente para mim quando preciso logar novamente para acessar uma compra, ocorre um erro que faz eu ter que fazer o carrinho novamente. A parte estratégica de complicar a vida do consumidor para fazer ele se deslocar até a loja física para downgrade da assinatura está de parabéns também! Pelo app é possível apenas upgrade, para downgrade a orientação até por telefone é se deslocar até a loja.. Triste sermos reféns das grandes operadoras
2;April 07, 2025;(Atualização) O app melhorou significativamente, melhorou o visual, mas ainda tem uns bugs. Um deles acontece ao ver o consumo de internet, no qual ao clicar sobre o app apenas fecha inesperadamente. O segundo é quando tento trocar meu plano, onde não carrega a aba ou nao me oferece um plano de baixo custo, pois pago caro em um plano que não uso nem 25% do pacote de dados e queria trocá-lo por um mais em conta para minhas necessidades! Espero que solucionem!
3;May 21, 2025;não sei se venderam mais chips do que comportam, mas a questão é que de mais de um mês para cá, está horrível a conexão ! até mesmo em locais que antes funcionava bem, agora não mais!! 5 G DESAPARECEU, 4G vc conecta por poucos minutos e depois desconecta denovo !! no APP não resolve nada, pois só tem opções básicas e previsíveis e pelos canais de atendimento, só se fala com robôs que repetem os mesmos erros!! tenho 3 linhas pós+fibra, pensando seriamente em pedir portabilidade. NÃO RESOLVEM!
4;April 19, 2025;péssima interface com usuário e suporte técnico parece uma piada, ou não funciona ou trava no meio do processo o problema continua... E é impossível conseguir uma visita técnica dessa forma... realmente é um problema grave que vocês não arrumam. Com relação app, só o fato de falar que preciso reinstalar, com menos de 1 mês de uso, já deixa claro a qualidade dele.
5;May 10, 2025;Está apresentando vários erros até para avisar que a fatura foi paga. Amazon prime não tem opção de fazer assinatura sem anúncios porque o plano que a vivo oferece tem anúncios. O Netflix não tem a opção de adicionar assinantes extra por R$ 12,00 reais. Se você assinar a Netflix pelo cartão de crédito, essa opção aparece. Já é uma causa a procurar o Procon.
6;May 08, 2025;A atualização do app da Vivo está muito ruim. Não consigo emitir a segunda via da negociação, tampouco acessá-la pelo aplicativo. No “Vivo em Dia” é informado que a segunda via será enviada por e-mail, mas isso nunca ocorre. As informações são confusas e o acesso ao sistema é extremamente complicado. Por conta dessas dificuldades, atrasei o pagamento do acordo, pois levei mais de uma semana para conseguir emitir a segunda via.
7;May 16, 2025;Aplicativo tá horrível, muito difícil de navegar por ele, tudo muito confuso. Fora as propagandas de aparecem do nada, ofertas de planos toda hora. Fiquei procurando o meu consumo de dados móveis um tempão, naveguei todo o aplicativo pra encontrar. Façam um aplicativo mais simples e minimalista, por favor.
8;March 30, 2025;Suporte técnico de Internet nunca funciona no aplicativo para Android. Sempre que preciso fazer uma reclamação de falta de Internet em casa tenho que utilizar um iPad para isso. Lembrando que meu telefone está atualizado com a última versão do Android, bem como o aplicativo. E mesmo assim não funciona. Ao entrar nessa opção relatada, aparece uma tela em branco, sem opções para prosseguir.
9;April 11, 2025;"A palavra pra descrever esse app é ""Impossível"" simplesmente é impossível fazer qualquer coisa nesse app sem que ele reinicie automaticamente a cada 40-60 segundos. Até pra fazer o reconhecimento facial pra confirmar identidade o app simplesmente reinicia ou trava e fica congelado e quando volta tem que fazer tudo de novo. Pior aplicativo de uma operadora de celular."
10;March 06, 2025;Aplicativo horrível, nunca consigo acessar nada, não debita o plano na data certa no cartão de crédito (mesmo tendo saldo) e não me permiti atualizar o pagamento, bloqueiam a minha linha e não me dão a opção de pagar por pix. Todas ou maioria das funções estão sempre fora do ar. Vou estar cancelando o plano, pois sempre que preciso nunca tenho o serviço.
11;April 05, 2025;Só não recebe 5 estrelas porque troquei de plano e não aparece a quantidade de dados do novo plano de 39GB e ainda são bem caros os planos de acordo com o que oferecem, as concorrências oferecem opções de ilimitado para mais aplicativos que são importantes principalmente para informações e a Vivo não. Além de faltar cobertura de Vivo Fibra em vários lugares em Duque de Caxias RJ, pois já tentei em 2 endereços diferentes em bairros próximos e continua sem cobertura, mesmo com pessoas interessadas
12;January 17, 2025;Aplicativo péssimo, todo confuso, as vezes troco o cartão de pagamento e ele buga e não debita o valor, depois fica mandando mensagem que não deu certo o pagamento. Mas o cartão está lá cadastrado normalmente. E quando eu clico em pagar, ele não deixa pagar com o próprio cartão que está na conta e pede outras opções. Isso é um absurdo, só para fazer eu perder meu precioso tempo. Uma coisa simples de se resolver, mas os programadores parecem que tem preguiça. Edit: está atualizado, n consigo paga
13;January 13, 2025;A ativação de um número está quase impossível por conta do reconhecimento facial. Várias iluminações, locais diferentes e nada. Se é numa necessidade a gente fica na mão. Sorte ter outras operadoras com acesso mais fácil. A vivo funciona no geral muito bem, com ótima infraestrutura, mas geralmente os softwares geram muita irritação. Seja o app, seja o site ou seja a rede móvel, sempre volto aqui irritado após várias tentativas de resolver um problema...
14;January 23, 2025;Muito lento, e não consigo fazer nada útil pelo aplicativo, tento abrir uma fatura para pagar e aparece sem conexão, tente mais tarde, tento trocar de plano e também aparece sem conexão. Mas eu estou no Wi-Fi e tudo funciona perfeitamente exceto o app da vivo. Ou seja, só presta pra ver o valor e histórico de faturas, o resto nao funciona.
